id,verse_id,word_position,text_arabic,transliteration,translation_english,created_at,updated_at,grammar_info
11,4,1,مَالِكِ,Maliki,Master of,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Construct state (mudaf), genitive case, definite by virtue of following genitive"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
12,4,2,يَوْمِ,Yawmi,the Day,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Genitive case (mudaf ilayh), definite by virtue of following genitive"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
13,4,3,الدِّينِ,Ad-deen,of Judgment,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Genitive case (mudaf ilayh), definite article al-"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
14,5,1,إِيَّاكَ,Iyyaka,You alone,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""accusative"",""type"":""separated_object_pronoun"",""notes"":""Separated object pronoun (mafool bihi), accusative case, emphasis"",""gender"":""masculine"",""number"":""singular"",""person"":""second"",""part_of_speech"":""pronoun""}"
15,5,2,نَعْبُدُ,na'budu,we worship,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""form"":""I"",""mood"":""indicative"",""notes"":""Present tense verb, first person plural, indicative mood"",""tense"":""present"",""number"":""plural"",""person"":""first"",""part_of_speech"":""verb""}"
16,5,3,وَإِيَّاكَ,wa iyyaka,and You alone,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""accusative"",""notes"":""Conjunction wa (and) + separated object pronoun, accusative case"",""gender"":""masculine"",""number"":""singular"",""person"":""second"",""pronoun"":""separated_object"",""conjunction"":""وَ"",""part_of_speech"":""conjunction_pronoun""}"
17,5,4,نَسْتَعِينُ,nasta'een,we ask for help,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""form"":""X"",""mood"":""indicative"",""notes"":""Form X verb (istafala), present tense, first person plural, indicative mood"",""tense"":""present"",""number"":""plural"",""person"":""first"",""part_of_speech"":""verb""}"
18,6,1,اهْدِنَا,Ihdina,Guide us,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""form"":""I"",""mood"":""imperative"",""notes"":""Imperative verb, second person singular, with attached object pronoun na (us)"",""tense"":""imperative"",""number"":""singular"",""person"":""second"",""part_of_speech"":""verb""}"
19,6,2,الصِّرَاطَ,As-sirata,Path,2025-12-04 21:11:09.374901+00,2025-12-18 12:26:38.789629+00,"{""case"":""accusative"",""notes"":""Direct object (mafool bihi), accusative case, definite article al-"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
20,6,3,الْمُسْتَقِيمَ,Al-mustaqeem,the straight,2025-12-04 21:11:09.374901+00,2025-12-17 01:47:28.852903+00,"{""case"":""accusative"",""form"":10,""notes"":""Adjective modifying sirat, accusative case, definite article al-"",""gender"":""masculine"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""adjective""}"
21,7,1,صِرَاطَ,Sirata,The path,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""accusative"",""notes"":""Apposition to previous sirat, accusative case, definite by construct state"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
22,7,2,الَّذِينَ,Alladheena,of those,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Relative pronoun, genitive case (mudaf ilayh), masculine plural"",""gender"":""masculine"",""number"":""plural"",""definiteness"":""definite"",""part_of_speech"":""relative_pronoun""}"
23,7,3,أَنْعَمْتَ,an'amta,You have bestowed favor,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""form"":""IV"",""notes"":""Past tense verb, second person singular, Form IV (afala)"",""tense"":""past"",""gender"":""masculine"",""number"":""singular"",""person"":""second"",""part_of_speech"":""verb""}"
24,7,4,عَلَيْهِمْ,alayhim,upon them,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Preposition ala (upon) + attached pronoun hum (them), genitive case"",""gender"":""masculine"",""number"":""plural"",""person"":""third"",""pronoun"":""attached"",""preposition"":""عَلَى"",""part_of_speech"":""preposition_pronoun""}"
25,7,5,غَيْرِ,ghayri,not,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Exception noun, genitive case, indefinite"",""number"":""singular"",""definiteness"":""indefinite"",""part_of_speech"":""noun""}"
26,7,6,الْمَغْضُوبِ,Al-maghdoobi,of those who have evoked,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Passive participle (ism mafool), genitive case, definite article al-, masculine plural"",""gender"":""masculine"",""number"":""plural"",""definiteness"":""definite"",""part_of_speech"":""passive_participle""}"
27,7,7,عَلَيْهِمْ,alayhim,wrath,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Preposition ala (upon) + attached pronoun hum (them), genitive case"",""gender"":""masculine"",""number"":""plural"",""person"":""third"",""pronoun"":""attached"",""preposition"":""عَلَى"",""part_of_speech"":""preposition_pronoun""}"
28,7,8,وَلَا,wa la,and not,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""notes"":""Conjunction wa (and) + negative particle la (not)"",""negative"":""لَا"",""conjunction"":""وَ"",""part_of_speech"":""conjunction_negative""}"
29,7,9,الضَّالِّينَ,Ad-dalleen,of those who are astray,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""accusative"",""notes"":""Active participle (ism fail), accusative case, definite article al-, masculine plural"",""gender"":""masculine"",""number"":""plural"",""definiteness"":""definite"",""part_of_speech"":""active_participle""}"
1755,373,1,إِنَّآ,Innā,"Indeed, We",2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.352965+00,"{""case"":""accusative"",""features"":[""accusative""],""part_of_speech"":""Particle""}"
1756,373,2,أَنزَلۡنَٰهُ,Anzalnāhu,Revealed it,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.397709+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:نزل""],""part_of_speech"":""verb_pronoun"",""pronoun_number"":""plural"",""pronoun_person"":""first""}"
1757,373,3,فِي,Fī,In,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.442651+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1758,373,4,لَيۡلَةِ,Laylati,Night,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.487301+00,"{""case"":""genitive"",""features"":[""root:ليل"",""genitive""],""part_of_speech"":""Noun""}"
1759,373,5,ٱلۡقَدۡرِ,Lqadri,Power,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.531314+00,"{""case"":""genitive"",""features"":[""root:قدر"",""genitive""],""part_of_speech"":""Noun""}"
1760,374,1,وَمَآ,Wamā,And what,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.659043+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1761,374,2,أَدۡرَىٰكَ,Adrāka,Can make you know,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.703141+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:دري""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""second""}"
1762,374,3,مَا,Mā,What,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.748223+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1763,374,4,لَيۡلَةُ,Laylatu,Night,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.792136+00,"{""case"":""nominative"",""features"":[""root:ليل"",""nominative""],""part_of_speech"":""Noun""}"
1764,374,5,ٱلۡقَدۡرِ,Lqadri,Power,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.843588+00,"{""case"":""genitive"",""features"":[""root:قدر"",""genitive""],""part_of_speech"":""Noun""}"
1765,375,1,لَيۡلَةُ,Laylatu,Night,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:45.981636+00,"{""case"":""nominative"",""features"":[""root:ليل"",""nominative""],""part_of_speech"":""Noun""}"
1766,375,2,ٱلۡقَدۡرِ,Lqadri,Power,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.025275+00,"{""case"":""genitive"",""features"":[""root:قدر"",""genitive""],""part_of_speech"":""Noun""}"
1767,375,3,خَيۡرٞ,Khayrun,Better,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.068456+00,"{""case"":""nominative"",""gender"":""masculine"",""number"":""singular"",""features"":[""root:خير"",""masculine singular"",""nominative""],""part_of_speech"":""Noun""}"
1768,375,4,مِّنۡ,Min,Than,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.117651+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1769,375,5,أَلۡفِ,Alfi,A thousand,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.164267+00,"{""case"":""genitive"",""features"":[""root:ألف"",""genitive""],""part_of_speech"":""Noun""}"
1770,375,6,شَهۡرٖ,Shahrin,Month,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.2177+00,"{""case"":""genitive"",""features"":[""root:شهر"",""genitive""],""part_of_speech"":""Noun""}"
1771,376,1,تَنَزَّلُ,Tanazzalu,Descend,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.363414+00,"{""form"":""5"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:نزل"",""feminine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
1772,376,2,ٱلۡمَلَـٰٓئِكَةُ,Lmalāikatu,The Angels,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.416223+00,"{""case"":""nominative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:ملك"",""masculine plural"",""nominative""],""part_of_speech"":""Noun""}"
1773,376,3,وَٱلرُّوحُ,Walrūḥu,And the Spirit,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.45893+00,"{""case"":""nominative"",""features"":[""root:روح"",""nominative""],""part_of_speech"":""Noun""}"
1774,376,4,فِيهَا,Fīhā,Therein,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.501174+00,"{""gender"":""feminine"",""number"":""singular"",""features"":[""feminine singular""],""part_of_speech"":""Particle""}"
1775,376,5,بِإِذۡنِ,Biidh'ni,By  permission,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.551899+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
1776,376,6,رَبِّهِم,Rabbihim,Their Lord,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.598306+00,"{""case"":""genitive"",""features"":[""noun"",""pronoun"",""root:ربب""],""part_of_speech"":""noun_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1777,376,7,مِّن,Min,For,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.639979+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1778,376,8,كُلِّ,Kulli,Every,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.689752+00,"{""case"":""genitive"",""features"":[""root:كلل"",""genitive""],""part_of_speech"":""Noun""}"
1779,376,9,أَمۡرٖ,Amrin,Affair,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.734137+00,"{""case"":""genitive"",""features"":[""root:أمر"",""genitive""],""part_of_speech"":""Noun""}"
1780,377,1,سَلَٰمٌ,Salāmun,Peace,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.897678+00,"{""case"":""nominative"",""features"":[""root:سلم"",""nominative""],""part_of_speech"":""Noun""}"
1781,377,2,هِيَ,Hiya,It,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.9485+00,"{""gender"":""feminine"",""number"":""singular"",""features"":[""feminine singular""],""part_of_speech"":""Noun""}"
1782,377,3,حَتَّىٰ,Ḥattā,Until,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:46.998236+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1783,377,4,مَطۡلَعِ,Maṭlaʿi,Emergence,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.042837+00,"{""case"":""genitive"",""features"":[""root:طلع"",""genitive""],""part_of_speech"":""Noun""}"
1784,377,5,ٱلۡفَجۡرِ,Lfajri,The dawn,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.088186+00,"{""case"":""genitive"",""features"":[""root:فجر"",""genitive""],""part_of_speech"":""Noun""}"
1785,378,1,لَمۡ,Lam,Not,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.323657+00,"{""features"":[""preposition""],""part_of_speech"":""Preposition""}"
1786,378,2,يَكُنِ,Yakuni,Were,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.367737+00,"{""form"":""1"",""mood"":""jussive"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""root:كون"",""masculine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
1787,378,3,ٱلَّذِينَ,Alladhīna,Those who,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.419867+00,"{""gender"":""masculine"",""number"":""plural"",""features"":[""masculine plural""],""part_of_speech"":""Noun""}"
1788,378,4,كَفَرُواْ,Kafarū,Disbelieved,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.465714+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:كفر""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1789,378,5,مِنۡ,Min,From,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.519871+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1790,378,6,أَهۡلِ,Ahli,People,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.56196+00,"{""case"":""genitive"",""features"":[""root:أهل"",""genitive""],""part_of_speech"":""Noun""}"
1791,378,7,ٱلۡكِتَٰبِ,Lkitābi,Of the Book,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.609186+00,"{""case"":""genitive"",""features"":[""root:كتب"",""genitive""],""part_of_speech"":""Noun""}"
1792,378,8,وَٱلۡمُشۡرِكِينَ,Walmush'rikīna,And the polytheists,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.654378+00,"{""case"":""genitive"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:شرك"",""masculine plural"",""genitive""],""part_of_speech"":""Noun""}"
1793,378,9,مُنفَكِّينَ,Munfakkīna,To be abandoned,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.708392+00,"{""case"":""accusative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:فكك"",""masculine plural"",""accusative""],""part_of_speech"":""Noun""}"
1794,378,10,حَتَّىٰ,Ḥattā,Until,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.758635+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1795,378,11,تَأۡتِيَهُمُ,Tatiyahumu,Comes to them,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.804474+00,"{""form"":""1"",""mood"":""subjunctive"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:أتي""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1796,378,12,ٱلۡبَيِّنَةُ,Lbayinatu,The clear evidence,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.849435+00,"{""case"":""nominative"",""gender"":""feminine"",""number"":""singular"",""features"":[""root:بين"",""feminine singular"",""nominative""],""part_of_speech"":""Noun""}"
1797,379,1,رَسُولٞ,Rasūlun,A Messenger,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:47.990106+00,"{""case"":""nominative"",""features"":[""root:رسل"",""nominative""],""part_of_speech"":""Noun""}"
1798,379,2,مِّنَ,Mina,From,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.032441+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1799,379,3,ٱللَّهِ,Llahi,Allah,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.073719+00,"{""case"":""genitive"",""features"":[""root:أله"",""genitive""],""part_of_speech"":""Noun""}"
1800,379,4,يَتۡلُواْ,Yatlū,Reciting,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.125269+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""root:تلو"",""masculine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
1801,379,5,صُحُفٗا,Ṣuḥufan,Pages,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.167111+00,"{""case"":""accusative"",""features"":[""root:صحف"",""accusative""],""part_of_speech"":""Noun""}"
1802,379,6,مُّطَهَّرَةٗ,Muṭahharatan,Purified,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.22241+00,"{""case"":""accusative"",""features"":[""root:طهر"",""accusative""],""part_of_speech"":""Noun""}"
1803,380,1,فِيهَا,Fīhā,Wherein,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.356195+00,"{""gender"":""feminine"",""number"":""singular"",""features"":[""feminine singular""],""part_of_speech"":""Particle""}"
1804,380,2,كُتُبٞ,Kutubun,Writings,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.403115+00,"{""case"":""nominative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:كتب"",""masculine plural"",""nominative""],""part_of_speech"":""Noun""}"
1805,380,3,قَيِّمَةٞ,Qayyimatun,Correct,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.450894+00,"{""case"":""nominative"",""features"":[""root:قوم"",""nominative""],""part_of_speech"":""Noun""}"
1806,381,1,وَمَا,Wamā,And not,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.589037+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1807,381,2,تَفَرَّقَ,Tafarraqa,Became divided,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.634536+00,"{""form"":""5"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""gender"":""masculine"",""number"":""singular"",""features"":[""root:فرق"",""masculine singular""],""part_of_speech"":""Verb""}"
1808,381,3,ٱلَّذِينَ,Alladhīna,Those who,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.677802+00,"{""gender"":""masculine"",""number"":""plural"",""features"":[""masculine plural""],""part_of_speech"":""Noun""}"
1809,381,4,أُوتُواْ,Ūtū,Were given,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.726399+00,"{""form"":""4"",""tense"":""past"",""voice"":""passive"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:أتي""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1810,381,5,ٱلۡكِتَٰبَ,Lkitāba,The Book,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.77117+00,"{""case"":""accusative"",""features"":[""root:كتب"",""accusative""],""part_of_speech"":""Noun""}"
1811,381,6,إِلَّا,Illā,Until,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.821383+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1812,381,7,مِنۢ,Min,From,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.867994+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1813,381,8,بَعۡدِ,Baʿdi,After,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.919248+00,"{""case"":""genitive"",""features"":[""root:بعد"",""genitive""],""part_of_speech"":""Noun""}"
1814,381,9,مَا,Mā,What,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:48.970627+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1815,381,10,جَآءَتۡهُمُ,Jāathumu,Came  them,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.01939+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:جيأ""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1816,381,11,ٱلۡبَيِّنَةُ,Lbayinatu,The clear evidence,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.070712+00,"{""case"":""nominative"",""gender"":""feminine"",""number"":""singular"",""features"":[""root:بين"",""feminine singular"",""nominative""],""part_of_speech"":""Noun""}"
1817,382,1,وَمَآ,Wamā,And not,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.2081+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1818,382,2,أُمِرُوٓاْ,Umirū,They were commanded,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.261798+00,"{""form"":""1"",""tense"":""past"",""voice"":""passive"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:أمر""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1819,382,3,إِلَّا,Illā,Except,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.30932+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1820,382,4,لِيَعۡبُدُواْ,Liyaʿbudū,To worship,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.353052+00,"{""form"":""1"",""mood"":""subjunctive"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:عبد""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1821,382,5,ٱللَّهَ,Llaha,Allah,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.40112+00,"{""case"":""accusative"",""features"":[""root:أله"",""accusative""],""part_of_speech"":""Noun""}"
1822,382,6,مُخۡلِصِينَ,Mukh'liṣīna,Sincere,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.448237+00,"{""case"":""accusative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:خلص"",""masculine plural"",""accusative""],""part_of_speech"":""Noun""}"
1823,382,7,لَهُ,Lahu,To Him,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.49226+00,"{""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
1824,382,8,ٱلدِّينَ,Ldīna,The religion,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.538636+00,"{""case"":""accusative"",""features"":[""root:دين"",""accusative""],""part_of_speech"":""Noun""}"
1825,382,9,حُنَفَآءَ,Ḥunafāa,Upright,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.593643+00,"{""case"":""accusative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:حنف"",""masculine plural"",""accusative""],""part_of_speech"":""Noun""}"
1826,382,10,وَيُقِيمُواْ,Wayuqīmū,And to establish,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.637193+00,"{""form"":""4"",""mood"":""subjunctive"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""features"":[""verb"",""pronoun"",""root:قوم""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
1827,382,11,ٱلصَّلَوٰةَ,Lṣalata,The prayer,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:49.681804+00,"{""case"":""accusative"",""features"":[""root:صلو"",""accusative""],""part_of_speech"":""Noun""}"
